earlier	later	earlier_name	later_name	relation
CL:0002001	CL:0002008	CD34-positive, CD38-positive granulocyte monocyte progenitor	CD34-positive, CD38-positive eosinophil progenitor cell	develops from
CL:0002005	CL:0002025	CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell	CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	develops from
CL:0002005	CL:0002003	CD34-positive, CD38-positive megakaryocyte erythroid progenitor cell	CD34-positive, GlyA-negative erythroid progenitor cell	develops from
CL:0002025	CL:0002023	CD34-positive, CD41-positive, CD42-negative megakaryocyte progenitor cell	CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	develops from
CL:0002023	CL:0002026	CD34-positive, CD41-positive, CD42-positive megakaryocyte progenitor cell	CD34-negative, CD41-positive, CD42-positive megakaryocyte cell	develops from
CL:0001074	CL:0001072	CD34-positive, CD56-positive, CD117-positive common innate lymphoid precursor, human	CD34-negative, CD117-positive innate lymphoid cell, human	develops from
CL:0002003	CL:0002004	CD34-positive, GlyA-negative erythroid progenitor cell	CD34-negative, GlyA-negative proerythroblast	develops from
CL:0002051	CL:0002053	CD38-high pre-BCR positive cell	CD22-positive, CD38-low small pre-B cell	develops from
CL:0002430	CL:0002435	CD4-intermediate, CD8-positive double-positive thymocyte	CD69-positive, CD8-positive single-positive thymocyte	develops from
CL:0000924	CL:0000928	CD4-negative, CD8-negative type I NK T cell	activated CD4-negative, CD8-negative type I NK T cell	develops from
CL:0000923	CL:0000925	CD4-positive type I NK T cell	activated CD4-positive type I NK T cell	develops from
CL:0002431	CL:0002433	CD4-positive, CD8-intermediate double-positive thymocyte	CD69-positive, CD4-positive single-positive thymocyte	develops from
CL:0000810	CL:0000793	CD4-positive, alpha-beta thymocyte	CD4-positive, alpha-beta intraepithelial T cell	develops from
CL:0002344	CL:0002338	CD56-negative, CD161-positive immature natural killer cell, human	CD56-positive, CD161-positive immature natural killer cell, human	develops from
CL:0002429	CL:0002430	CD69-positive double-positive thymocyte	CD4-intermediate, CD8-positive double-positive thymocyte	develops from
CL:0002429	CL:0002431	CD69-positive double-positive thymocyte	CD4-positive, CD8-intermediate double-positive thymocyte	develops from
CL:0002433	CL:0002432	CD69-positive, CD4-positive single-positive thymocyte	CD24-positive, CD4 single-positive thymocyte	develops from
CL:0002435	CL:0002434	CD69-positive, CD8-positive single-positive thymocyte	CD24-positive, CD8 single-positive thymocyte	develops from
CL:0001027	CL:0001028	CD7-negative lymphoid progenitor cell	CD7-positive lymphoid progenitor cell	develops from
CL:0002016	CL:0002018	CD71-low, GlyA-positive polychromatic erythroblast	CD71-negative, GlyA-positive orthochromatic erythroblast	develops from
CL:0002018	CL:0002020	CD71-negative, GlyA-positive orthochromatic erythroblast	GlyA-positive reticulocytes	develops from
